S.No,State/Union Territory,Total population (Projected for 2025),Estimated numbers of Aadhaar assigned (Live),Penetration % (Live)
1,Andaman and Nicobar Islands,405000,384689,94.98
2,Andhra Pradesh,53524000,53156855,99.31
3,Arunachal Pradesh,1590000,1246781,78.41
4,Assam,36382000,33534420,92.17
5,Bihar,130429000,115572553,88.61
6,Chandigarh,1255000,1129526,90.0
7,Chhattisgarh,30867000,29237417,94.72
8,Dadra and Nagar Haveli and Daman and Diu,662703,692657,104.52
9,Delhi,22146000,23017965,103.94
10,Goa,1591000,1639302,103.04
11,Gujarat,73227000,66346971,90.6
12,Haryana,30936000,31145002,100.68
13,Himachal Pradesh,7542000,7866870,104.31
14,Jammu and Kashmir,13798000,12069356,87.47
15,Jharkhand,40461000,36528391,90.28
16,Karnataka,68538000,66898514,97.61
17,Kerala,36063000,37980939,105.32
18,Ladakh,304000,253196,83.29
19,Lakshadweep,69000,75662,109.65
20,Madhya Pradesh,88641000,81095858,91.49
21,Maharashtra,128334000,121108607,94.37
22,Manipur,3282000,2703557,82.38
23,Meghalaya,3410000,2834023,83.11
24,Mizoram,1261000,1237280,98.12
25,Nagaland,2274000,1427499,62.77
26,Odisha,46857000,44776831,95.56
27,Puducherry,1405997,1438062,102.28
28,Punjab,31122000,31701298,101.86
29,Rajasthan,82770000,78197503,94.48
30,Sikkim,702000,590824,84.16
31,Tamil Nadu,77317000,75477944,97.62
32,Telangana,38454000,39913987,103.8
33,Tripura,4222000,3916411,92.76
34,Uttar Pradesh,240468000,225332659,93.71
35,Uttarakhand,11874000,11873042,99.99
36,West Bengal,100042000,100155867,100.11
